Issue code,Issue name,Market type,Company category,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"366030","09WOMEN","KOSDAQ","Blue chip company","5100","-180","-3.41","5290","5390","5010","76412","395503655","115534635000","22653850"
"159580","0TO7","KOSDAQ","Enterprise of middle standing","3630","-20","-0.55","3650","3670","3550","25603","92542796","72718468680","20032636"
"177900","3ALogics","KOSDAQ","New growth company","5930","-360","-5.72","6290","6310","5880","52998","319387780","56837864000","9584800"
"052960","3CTY","KONEX","General Company-Division","3570","15","0.42","3565","3570","3565","11","39220","17446868460","4887078"
"060310","3S KOREA","KOSDAQ","Venture business","1228","-50","-3.91","1278","1284","1204","181885","223623221","65156501120","53059040"
"394800","3billion","KOSDAQ","New growth company","11940","-1180","-8.99","13200","13400","11830","239352","2938683680","379232023440","31761476"
"389140","4by4","KOSDAQ","Venture business","8090","-570","-6.58","8920","8920","8000","217707","1800840660","115442156150","14269735"
"234070","A ONE ALFORM","KONEX","General Company-Division","928","-1","-0.11","929","929","880","3","2737","6459532384","6960703"
"244920","A Plus Asset","KOSPI",,"10500","0","0.00","10500","11040","10180","48357","509521280","237380776500","22607693"
"262260","A Pro","KOSDAQ","Blue chip company","4830","-270","-5.29","5150","5250","4790","46252","229330860","69881174160","14468152"
"140910","A REIT","KOSPI",,"3130","0","0.00","0","0","0","0","0","13969290160","4463032"
"015260","A&P","KOSPI",,"601","-46","-7.11","651","663","600","650253","404600034","28317253294","47116894"
"013310","A-JIN INDUSTRY","KOSDAQ","Blue chip company","2995","-155","-4.92","3150","3150","2965","348431","1058023361","116225713090","38806582"
"071670","A-Tech","KOSDAQ","Enterprise of middle standing","8260","-490","-5.60","8750","8980","8150","47957","403135345","82600000000","10000000"
"036010","ABEL","KOSDAQ","Enterprise of middle standing","8150","-530","-6.11","8680","8840","7950","218708","1808017180","108337412100","13292934"
"129890","ABKO","KOSDAQ","Venture business","918","-31","-3.27","942","963","899","186964","172200412","41810862636","45545602"
"298380","ABL Bio","KOSDAQ","New growth company","159800","-20200","-11.22","180100","180700","157000","734963","121310468900","8946796587400","55987463"
"078520","ABLE C&C","KOSPI",,"11720","-620","-5.02","12220","12380","11530","201668","2378874300","304885966920","26014161"
"203400","ABN","KOSDAQ","New growth company","2290","-150","-6.15","2450","2470","2230","979399","2265612997","206331986160","90101304"
"102120","ABOV","KOSDAQ","Venture business","10400","-600","-5.45","11150","11180","10300","188861","2024810585","184919831200","17780753"
"052790","ACTOZ SOFT","KOSDAQ","Enterprise of middle standing","5290","-140","-2.58","5430","5440","5230","16783","89282795","59939075020","11330638"
"179530","ADBIOTECH","KOSDAQ","New growth company","2515","-270","-9.69","2810","2835","2485","406039","1053435257","49494269450","19679630"
"200710","ADTechnology","KOSDAQ","Enterprise of middle standing","48200","-3500","-6.77","51800","52200","47500","258764","12784866100","647847620400","13440822"
"397810","ADforus","KOSDAQ","Venture business","6430","-170","-2.58","6550","6720","6230","25671","166421140","33183751100","5160770"
"018250","AEKYUNG INDUSTRIAL","KOSPI",,"14460","-800","-5.24","15130","15280","14410","184580","2719493385","381887660100","26409935"
"312610","AFW","KOSDAQ","More significant investment(none market division)","1140","60","5.56","1080","1187","1063","143348","163152155","23092852320","20256888"
"013990","AGABANG&CO","KOSDAQ","Blue chip company","4630","-160","-3.34","4790","4855","4600","188547","887046241","152269291680","32887536"
"102950","AHA","KONEX","General Company-Division","1296","-2","-0.15","1488","1488","1235","995","1251987","17005986288","13121903"
"001540","AHN-GOOK PHA","KOSDAQ","Blue chip company","7700","-170","-2.16","7930","8000","7630","41375","320700780","100426634000","13042420"
"053800","AHNLAB","KOSDAQ","Blue chip company","59600","-1000","-1.65","60700","61200","59100","47639","2845995750","663139757600","11126506"
"364950","AIK","KOSDAQ","Venture business","6200","-340","-5.20","6530","6640","6170","38296","242835650","51437959000","8296445"
"447690","AIOBIO","KONEX","General Company-Division","3355","-40","-1.18","3205","3540","3200","204","656050","8824508880","2630256"
"163280","AIRRANE","KOSDAQ","New growth company","5710","-300","-4.99","6020","6100","5600","207064","1203491345","77673575380","13603078"
"095570","AJ Networks","KOSPI",,"5080","-90","-1.74","5170","5240","5030","306129","1563132885","229884015720","45252759"
"009320","AJIN ELEC COMPONENTS","KOSPI",,"1015","-40","-3.79","1073","1073","988","218147","224043498","50039266550","49299770"
"059120","AJINEXTEK","KOSDAQ","Venture business","6590","-550","-7.70","7450","7550","6520","628000","4384636535","120663334940","18310066"
